... using circuit method 1
************
Executing VQE with num_qubits 4
************
Executing VQE with num_qubits 6
************
Executing VQE with num_qubits 8
         1237734946 function calls (1185790356 primitive calls) in 1359.740 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
32818994/773891   30.844    0.000  102.831    0.000 copy.py:128(deepcopy)
 12848242    0.984    0.000    0.984    0.000 copy.py:182(_deepcopy_atomic)
5556576/1541628    6.026    0.000   79.283    0.000 copy.py:200(_deepcopy_list)
3576228/2768904    7.074    0.000   75.613    0.000 copy.py:209(_deepcopy_tuple)
3576228/2768904    2.829    0.000   69.622    0.000 copy.py:210(<listcomp>)
1174476/91788    3.964    0.000  100.028    0.001 copy.py:226(_deepcopy_dict)
 14312236    5.240    0.000    7.428    0.000 copy.py:242(_keep_alive)
10910907/6224523   18.603    0.000  117.737    0.000 copy.py:258(_reconstruct)
  5517774    1.249    0.000   12.658    0.000 copy.py:263(<genexpr>)
 15173809   21.448    0.000   58.345    0.000 copy.py:66(copy)
 10573992    3.821    0.000    8.702    0.000 copyreg.py:90(__newobj__)
       39    0.000    0.000    0.000    0.000 copyreg.py:99(_slotnames)
  3268260    0.682    0.000    0.914    0.000 core.py:6377(isMaskedArray)
      282    0.006    0.000    0.136    0.000 counts.py:32(__init__)
      282    0.006    0.000    0.006    0.000 counts.py:77(<dictcomp>)
    10735    0.008    0.000    0.008    0.000 custom_iterator.py:22(__init__)
    61670    0.015    0.000    0.039    0.000 custom_iterator.py:36(__len__)
    61670    0.046    0.000    0.366    0.000 custom_iterator.py:43(__next__)
      757    0.569    0.001    2.828    0.004 cx_cancellation.py:21(run)
      564    0.348    0.001   39.831    0.071 dag_to_circuit.py:18(dag_to_circuit)
      564    0.001    0.000    0.160    0.000 dagcircuit.py:1001(topological_nodes)
   429475    0.045    0.000    0.045    0.000 dagcircuit.py:1015(_key)
      564    0.001    0.000    0.161    0.000 dagcircuit.py:1023(topological_op_nodes)
   413847    0.107    0.000    0.143    0.000 dagcircuit.py:1038(<genexpr>)
   157008    6.573    0.000   23.911    0.000 dagcircuit.py:1105(substitute_node_with_dag)
   701124    0.155    0.000    0.507    0.000 dagcircuit.py:1202(<lambda>)
   462712    0.097    0.000    0.314    0.000 dagcircuit.py:1205(<lambda>)
  2283886    0.819    0.000    1.143    0.000 dagcircuit.py:1211(filter_fn)
   788716    0.844    0.000    1.217    0.000 dagcircuit.py:1220(edge_map_fn)
  1867440    0.336    0.000    0.460    0.000 dagcircuit.py:1243(edge_weight_map)
  1413450    0.577    0.000    1.301    0.000 dagcircuit.py:1257(<listcomp>)
  1413450    0.169    0.000    0.169    0.000 dagcircuit.py:1258(<listcomp>)
   157008    0.308    0.000    0.308    0.000 dagcircuit.py:1265(<dictcomp>)
     1874    0.006    0.000    0.011    0.000 dagcircuit.py:1267(substitute_node)
    40525    1.427    0.000    2.292    0.000 dagcircuit.py:1363(op_nodes)
   157008    0.053    0.000    0.053    0.000 dagcircuit.py:144(wires)
   238673    0.267    0.000    1.086    0.000 dagcircuit.py:1472(remove_op_node)
   277217    0.113    0.000    0.314    0.000 dagcircuit.py:1484(<lambda>)
   295758    0.047    0.000    0.047    0.000 dagcircuit.py:156(global_phase)
   226665    0.181    0.000    0.217    0.000 dagcircuit.py:161(global_phase)
      757    0.002    0.000    2.009    0.003 dagcircuit.py:1618(collect_runs)
  1151273    0.487    0.000    1.422    0.000 dagcircuit.py:1631(filter_fn)
      757    0.124    0.000    0.124    0.000 dagcircuit.py:1639(<setcomp>)
      757    0.001    0.000    2.682    0.004 dagcircuit.py:1641(collect_1q_runs)
  2000455    1.097    0.000    2.256    0.000 dagcircuit.py:1644(filter_fn)
  4301781    1.857    0.000    1.857    0.000 dagcircuit.py:178(calibrations)
   162485    0.112    0.000    0.112    0.000 dagcircuit.py:187(calibrations)
  3570024    0.775    0.000    2.336    0.000 dagcircuit.py:216(has_calibration_for)
   157572    0.417    0.000    4.848    0.000 dagcircuit.py:237(add_qubits)
   596838    0.129    0.000    0.159    0.000 dagcircuit.py:239(<genexpr>)
   157572    0.219    0.000    0.392    0.000 dagcircuit.py:250(add_clbits)
   161620    0.026    0.000    0.026    0.000 dagcircuit.py:252(<genexpr>)
   165493    0.691    0.000    1.428    0.000 dagcircuit.py:263(add_qreg)
      564    0.004    0.000    0.008    0.000 dagcircuit.py:276(add_creg)
   459415    1.794    0.000    4.081    0.000 dagcircuit.py:289(_add_wire)
   819141    0.123    0.000    0.123    0.000 dagcircuit.py:409(_check_condition)
  1638282    0.670    0.000    0.857    0.000 dagcircuit.py:426(_check_bits)
   976149    0.168    0.000    0.168    0.000 dagcircuit.py:443(_bits_in_condition)
  2234465    1.453    0.000    3.475    0.000 dagcircuit.py:466(_increment_op)
   397555    0.355    0.000    0.485    0.000 dagcircuit.py:472(_decrement_op)
   819141    1.050    0.000    5.456    0.000 dagcircuit.py:478(_add_op_node)
   165493    0.527    0.000    0.527    0.000 dagcircuit.py:53(__init__)
   819141    3.727    0.000   14.664    0.000 dagcircuit.py:534(apply_operation_back)
   819141    2.720    0.000    2.899    0.000 dagcircuit.py:566(<listcomp>)
   314016    1.089    0.000    2.163    0.000 dagcircuit.py:600(_check_edgemap_registers)
   157008    0.226    0.000    0.439    0.000 dagcircuit.py:622(<dictcomp>)
   157008    0.432    0.000    1.032    0.000 dagcircuit.py:643(_check_wiremap_validity)
  1413450    0.190    0.000    0.190    0.000 dagcircuit.py:669(_map_condition)
     1039    0.001    0.000    0.002    0.000 dagcircuit.py:889(size)
     1039    0.002    0.000    0.235    0.000 dagcircuit.py:893(depth)
   157008    0.313    0.000    0.415    0.000 dagcircuit.py:932(_check_wires_list)
  3151421    1.383    0.000    1.383    0.000 dagnode.py:27(__init__)
  2232591    3.078    0.000    6.218    0.000 dagnode.py:325(__init__)
  6289758    1.753    0.000    5.220    0.000 dagnode.py:334(name)
   459415    0.432    0.000    0.669    0.000 dagnode.py:354(__init__)
   459415    0.340    0.000    0.523    0.000 dagnode.py:373(__init__)
        2    0.000    0.000    0.000    0.000 dcx.py:47(__init__)
        6    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        6    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
     9389    0.003    0.000    0.003    0.000 decompose.py:104(_should_decompose)
      282    0.001    0.000    0.002    0.000 decompose.py:28(__init__)
      282    0.425    0.002  103.351    0.366 decompose.py:78(run)
      282    0.001    0.000    0.002    0.000 dense_layout.py:141(_build_error_matrix)
      282    0.001    0.000    0.004    0.000 dense_layout.py:38(__init__)
      564    0.003    0.000    5.170    0.009 deprecation.py:23(wrapper)
      564    0.001    0.000    0.001    0.000 deprecation.py:56(_rename_kwargs)
     1039    0.003    0.000    0.242    0.000 depth.py:21(run)
      284    0.000    0.000    0.002    0.000 ecr.py:79(__init__)
        3    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        3    0.008    0.003    0.112    0.037 encoder.py:182(encode)
        3    0.000    0.000    0.000    0.000 encoder.py:204(iterencode)
    31753    0.023    0.000    0.023    0.000 encoder.py:223(floatstr)
        3    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
258016/129412    0.047    0.000    0.088    0.000 encoder.py:333(_iterencode_dict)
   129412    0.014    0.000    0.102    0.000 encoder.py:413(_iterencode)
   131951    0.079    0.000    0.105    0.000 enum.py:313(__call__)
   131951    0.026    0.000    0.026    0.000 enum.py:631(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:938(__and__)
       77    0.000    0.000    0.000    0.000 equivalence.py:255(_raise_if_param_mismatch)
       77    0.000    0.000    0.000    0.000 equivalence.py:256(<listcomp>)
       77    0.000    0.000    0.000    0.000 equivalence.py:266(_raise_if_shape_mismatch)
        2    0.000    0.000    0.000    0.000 equivalence.py:36(__init__)
       77    0.001    0.000    0.008    0.000 equivalence.py:47(add_equivalence)
71610/35805    0.125    0.000    0.188    0.000 equivalence.py:74(has_entry)
        2    0.001    0.001    0.068    0.034 equivalence_library.py:13(<module>)
       35    0.000    0.000    0.000    0.000 evolved_op.py:42(__init__)
      282    0.001    0.000    0.001    0.000 execute_function.py:35(_log_submission_time)
      282    0.008    0.000  517.097    1.834 execute_function.py:40(execute)
     4720    0.002    0.000    0.002    0.000 fencedobjs.py:22(__init__)
     2360    0.004    0.000    0.006    0.000 fencedobjs.py:26(__getattribute__)
     1321    0.001    0.000    0.002    0.000 fencedobjs.py:30(__getitem__)
     3681    0.002    0.000    0.002    0.000 fencedobjs.py:38(_check_if_fenced)
      282    0.001    0.000    0.001    0.000 fencedobjs.py:59(__init__)
     4438    0.004    0.000    0.006    0.000 fencedobjs.py:67(__init__)
      564    0.001    0.000    0.001    0.000 fixed_point.py:28(__init__)
     2078    0.008    0.000    0.013    0.000 fixed_point.py:37(run)
    32208    0.006    0.000    0.006    0.000 fromnumeric.py:2155(_sum_dispatcher)
    32208    0.051    0.000    0.308    0.000 fromnumeric.py:2160(sum)
    32208    0.058    0.000    0.251    0.000 fromnumeric.py:69(_wrapreduction)
    32208    0.019    0.000    0.019    0.000 fromnumeric.py:70(<dictcomp>)
      282    0.000    0.000    0.001    0.000 full_ancilla_allocation.py:34(__init__)
  3268260    6.675    0.000   21.408    0.000 function_base.py:537(asarray_chkfinite)
        1    0.000    0.000    0.000    0.000 functions.py:1(<module>)
